,Airline Name,Date of journey,Source,Destination,Departure Time,Arrival Time,Duration,Total Stops,Price
0,SpiceJet,"Mon, 22 Nov",Mumbai,Kolkata,6:15,8:55,2h 40m,Non Stop,4326
1,SpiceJet,"Mon, 22 Nov",Mumbai,Kolkata,18:40,21:25,2h 45m,Non Stop,4326
2,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,2:35,8:05,5h 30m,1 Stop,7409
3,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,13:05,19:20,6h 15m,2 Stop(s),7409
4,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,13:05,21:05,8h 00m,1 Stop,7409
5,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,22:55,"07:10
+ 1 day",8h 15m,1 Stop,7409
6,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,14:55,"01:35
+ 1 day",10h 40m,2 Stop(s),7409
7,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,21:20,"08:05
+ 1 day",10h 45m,1 Stop,7409
8,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,7:20,19:15,11h 55m,1 Stop,7409
9,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,13:05,"01:25
+ 1 day",12h 20m,1 Stop,7409
10,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,13:05,"01:35
+ 1 day",12h 30m,1 Stop,7409
11,Air Asia,"Mon, 22 Nov",Mumbai,Kolkata,7:20,23:10,15h 50m,1 Stop,7409
12,Go First,"Mon, 22 Nov",Mumbai,Kolkata,5:00,7:30,2h 30m,Non Stop,7412
13,Go First,"Mon, 22 Nov",Mumbai,Kolkata,21:00,23:50,2h 50m,Non Stop,7412
14,Go First,"Mon, 22 Nov",Mumbai,Kolkata,5:45,11:35,5h 50m,1 Stop,7412
15,Go First,"Mon, 22 Nov",Mumbai,Kolkata,14:35,22:20,7h 45m,1 Stop,7412
16,Go First,"Mon, 22 Nov",Mumbai,Kolkata,22:40,"08:20
+ 1 day",9h 40m,1 Stop,7412
17,Go First,"Mon, 22 Nov",Mumbai,Kolkata,6:05,16:30,10h 25m,1 Stop,7412
18,Go First,"Mon, 22 Nov",Mumbai,Kolkata,19:15,"08:20
+ 1 day",13h 05m,1 Stop,7412
19,SpiceJet,"Mon, 22 Nov",Mumbai,Kolkata,6:00,20:50,14h 50m,1 Stop,7412
20,SpiceJet,"Mon, 22 Nov",Mumbai,Kolkata,13:50,"17:45
+ 1 day",27h 55m,1 Stop,7412
21,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,21:20,23:45,2h 25m,Non Stop,7413
22,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,0:30,3:00,2h 30m,Non Stop,7413
23,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,17:40,20:10,2h 30m,Non Stop,7413
24,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,7:05,9:45,2h 40m,Non Stop,7413
25,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,7:35,10:15,2h 40m,Non Stop,7413
26,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,12:55,15:35,2h 40m,Non Stop,7413
27,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,17:15,19:55,2h 40m,Non Stop,7413
28,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,6:30,9:25,2h 55m,Non Stop,7413
29,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,14:00,16:55,2h 55m,Non Stop,7413
30,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,18:30,"00:30
+ 1 day",6h 00m,1 Stop,7413
31,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,12:45,19:15,6h 30m,1 Stop,7413
32,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,15:05,22:45,7h 40m,1 Stop,7413
33,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,11:10,19:40,8h 30m,1 Stop,7413
34,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,21:35,"07:25
+ 1 day",9h 50m,1 Stop,7413
35,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,19:55,"06:05
+ 1 day",10h 10m,1 Stop,7413
36,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,11:10,21:50,10h 40m,1 Stop,7413
37,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,18:30,"06:05
+ 1 day",11h 35m,1 Stop,7413
38,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,12:45,"00:30
+ 1 day",11h 45m,1 Stop,7413
39,Air India,"Mon, 22 Nov",Mumbai,Kolkata,6:10,8:50,2h 40m,Non Stop,8253
40,Air India,"Mon, 22 Nov",Mumbai,Kolkata,20:30,23:15,2h 45m,Non Stop,8778
41,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,6:15,13:20,7h 05m,1 Stop,9093
42,Air India,"Mon, 22 Nov",Mumbai,Kolkata,20:15,"08:05
+ 1 day",11h 50m,1 Stop,9247
43,Air India,"Mon, 22 Nov",Mumbai,Kolkata,20:15,"16:00
+ 1 day",19h 45m,2 Stop(s),9247
44,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,7:10,13:20,6h 10m,1 Stop,9303
45,Air India,"Mon, 22 Nov",Mumbai,Kolkata,7:05,14:30,7h 25m,2 Stop(s),9461
46,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,17:10,"00:30
+ 1 day",7h 20m,1 Stop,9513
47,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,16:20,"00:30
+ 1 day",8h 10m,1 Stop,9513
48,Air India,"Mon, 22 Nov",Mumbai,Kolkata,9:50,21:05,11h 15m,2 Stop(s),9526
49,Air India,"Mon, 22 Nov",Mumbai,Kolkata,9:30,"08:20
+ 1 day",22h 50m,1 Stop,9675
50,Go First,"Mon, 22 Nov",Mumbai,Kolkata,10:55,16:15,5h 20m,1 Stop,9697
51,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,17:10,22:40,5h 30m,1 Stop,9723
52,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,16:20,22:40,6h 20m,1 Stop,9723
53,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,10:45,19:15,8h 30m,1 Stop,9723
54,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,12:45,22:40,9h 55m,1 Stop,9723
55,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,17:30,22:45,5h 15m,1 Stop,9879
56,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,15:45,22:45,7h 00m,1 Stop,9879
57,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,11:55,19:35,7h 40m,1 Stop,9879
58,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,14:40,22:45,8h 05m,1 Stop,9879
59,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,10:25,19:35,9h 10m,1 Stop,9879
60,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,22:45,"08:20
+ 1 day",9h 35m,1 Stop,9879
61,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,21:55,"08:20
+ 1 day",10h 25m,1 Stop,9879
62,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,8:45,19:35,10h 50m,1 Stop,9879
63,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,11:55,22:45,10h 50m,1 Stop,9879
64,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,22:45,"09:35
+ 1 day",10h 50m,1 Stop,9879
65,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,20:55,"08:20
+ 1 day",11h 25m,1 Stop,9879
66,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,21:55,"09:35
+ 1 day",11h 40m,1 Stop,9879
67,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,10:25,22:45,12h 20m,1 Stop,9879
68,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,19:45,"08:20
+ 1 day",12h 35m,1 Stop,9879
69,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,20:55,"09:35
+ 1 day",12h 40m,1 Stop,9879
70,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,6:30,19:35,13h 05m,1 Stop,9879
71,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,6:00,19:35,13h 35m,1 Stop,9879
72,Air India,"Mon, 22 Nov",Mumbai,Kolkata,8:00,14:30,6h 30m,1 Stop,9946
73,Air India,"Mon, 22 Nov",Mumbai,Kolkata,7:00,14:30,7h 30m,1 Stop,9946
74,Air India,"Mon, 22 Nov",Mumbai,Kolkata,21:30,"14:30
+ 1 day",17h 00m,1 Stop,9946
75,Air India,"Mon, 22 Nov",Mumbai,Kolkata,18:00,"14:30
+ 1 day",20h 30m,1 Stop,9946
76,Air India,"Mon, 22 Nov",Mumbai,Kolkata,15:25,"14:30
+ 1 day",23h 05m,2 Stop(s),9946
77,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,15:50,20:15,4h 25m,1 Stop,9996
78,Air India,"Mon, 22 Nov",Mumbai,Kolkata,16:45,"08:20
+ 1 day",15h 35m,1 Stop,10129
79,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,11:40,20:55,9h 15m,1 Stop,10248
80,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,16:15,22:55,6h 40m,1 Stop,10563
81,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,12:20,18:05,5h 45m,1 Stop,10584
82,IndiGo,"Mon, 22 Nov",Mumbai,Kolkata,12:20,22:25,10h 05m,1 Stop,10584
83,Vistara,"Mon, 22 Nov",Mumbai,Kolkata,7:30,19:35,12h 05m,1 Stop,10593
